,precision,recall,f1-score,support
10,0.0,0.0,0.0,1.0
20,0.0,0.0,0.0,4.0
28,0.0,0.0,0.0,1.0
30,0.0,0.0,0.0,6.0
35,0.0,0.0,0.0,1.0
40,0.0,0.0,0.0,22.0
45,0.0,0.0,0.0,5.0
48,0.0,0.0,0.0,1.0
50,0.0,0.0,0.0,35.0
55,0.0,0.0,0.0,6.0
58,0.0,0.0,0.0,5.0
60,0.27586206896551724,0.06837606837606838,0.10958904109589043,117.0
62,0.0,0.0,0.0,1.0
63,0.0,0.0,0.0,1.0
65,0.125,0.04,0.06060606060606061,25.0
67,0.0,0.0,0.0,3.0
68,1.0,0.25,0.4,4.0
69,0.0,0.0,0.0,1.0
70,0.20398009950248755,0.23563218390804597,0.21866666666666665,174.0
71,0.0,0.0,0.0,3.0
72,0.0,0.0,0.0,3.0
73,0.0,0.0,0.0,4.0
74,0.0,0.0,0.0,6.0
75,0.10869565217391304,0.07352941176470588,0.08771929824561404,68.0
76,0.0,0.0,0.0,5.0
77,0.0,0.0,0.0,7.0
78,0.0,0.0,0.0,17.0
79,0.0,0.0,0.0,5.0
80,0.22384937238493724,0.5144230769230769,0.3119533527696793,208.0
81,0.0,0.0,0.0,4.0
82,0.0,0.0,0.0,9.0
83,0.0,0.0,0.0,9.0
84,0.0,0.0,0.0,9.0
85,0.09523809523809523,0.037037037037037035,0.05333333333333334,54.0
86,0.0,0.0,0.0,6.0
87,0.0,0.0,0.0,8.0
88,0.0,0.0,0.0,5.0
89,0.0,0.0,0.0,3.0
90,0.08547008547008547,0.18181818181818182,0.11627906976744187,55.0
91,0.0,0.0,0.0,3.0
92,0.0,0.0,0.0,1.0
94,0.0,0.0,0.0,2.0
95,0.0,0.0,0.0,3.0
96,0.0,0.0,0.0,1.0
97,0.0,0.0,0.0,1.0
100,0.0,0.0,0.0,9.0
accuracy,0.19001085776330076,0.19001085776330076,0.19001085776330076,0.19001085776330076
macro avg,0.04604555160293557,0.030452520865806867,0.029524930923580134,921.0
weighted avg,0.1505853257654758,0.19001085776330076,0.14561523107206845,921.0
