rating	review
82	                                Dying Light is one of the best ports we've seen on Nintendo Switch. Sure there are compromises here and there, on fps and details, but playing on portable almost make you forget about that. Add the huge amount of content, the local and online coop or new options like gyro controls, and you have a great game on the go.                             
80	                                Dying Light has found a new home and is worth returning to for both veteran fans and those touching down on Harran for the first time. Playing again made me excited for the sequel’s release and made me appreciate this title even more. This and more is what a port should do, so good luck and good night.                            
80	                                Dying Light: Platinum Edition remains one of the better examples of an open-world zombie game done right. It stands head-and-shoulders above other genre entries thanks to unique traversal and weapon creativity.                            
80	                                Dying Light Platinum Edition for Nintendo Switch is not the best version of this title. Yet the port itself is very competent, with reasonable technical compromises.                            
80	                                Dying Light on Switch is quite a remarkable achievement, and we’re happy to report that Techland has mostly stuck the landing with this one. Its ambitious open world full of zombies is unlike anything else in the Switch’s library and, between the core campaign and six years of constant DLC updates, there’s potentially hundreds of hours of enjoyment to be had here. Granted, all of this comes at the cost of performance that can be middling compared to other platforms, but this is neatly balanced out by the convenience of playing in handheld mode. We’d give Dying Light a strong recommendation, though with the caveat that Switch owners who rarely play in portable mode may want to pause and consider buying it elsewhere. Wherever you may fall, we’d strongly encourage you to consider this Switch port; it really is quite good.                            
80	                                Techland not only ported Dying Light to Switch well, but also added touchscreen support for menus and motion controls. In terms of features, this is one of the best big game conversions I’ve seen for Switch and it would be great if we actually saw more publishers and developers put in this much of an effort into their ports. While the Nintendo Switch version isn’t as good as other platforms in almost every way on a technical level, it is absolutely worth getting if you’ve wanted to experience the game and want it portable or only have a Nintendo Switch.                            
80	                                Embedding all the game's DLCs, expansion packs and original multi modes, Dying Light is making a great entry on Nintendo Switch. If this version is not the most beautiful to try today, given the concessions made to the display distance or the smoothness of the rendering (quite striking in docked mode), the particularly solid technique of this port forces everything so is respect and, if the game is slowly starting to age, this is a great opportunity to discover or rediscover this great success signed Techland.                             
80	                                Dying Light is six years old, but it hasn't lost its edge. A fantastic parkour system, extensive combat customization, and a unique take on the zombie-filled post-apocalyptic world mean Techland's horror game still holds its own after so long. Sure, the resolution could be better on Nintendo Switch, and it's still the same iffy story, but having Dying Light portable and with all the DLC more than makes up for that.                             
80	                                Dying Light Platinum Edition on Switch is an impressive port of a - still - very good game. Going back or for the first time to Harran on the Nintendo console is relevant as it offers the same fun of open world-survival-parkour action with only a few issues - juste forget about playing on you TV. It's smooth, doesn't load so much and, as it is the complete version of the Techland game, offers tons of content to players in need of zombies and a bit of horror.                             
80	                                Fortunately, Dying Light Platinum Edition for Nintendo Switch is a successful porting for Nintendo's hybrid. Despite the obvious and inevitable need to downgrade, the portable version remains enjoyable with a huge amount of content and a sufficiently solid frame rate.                            
80	                                Dying Light: Platinum Edition for the Switch is a straightforward port of a solid game. The basic zombie-killing parkour adventure is still as fun as it was when the game was originally released, and it has only received more content and more things to kill since then. The Switch version runs surprisingly well, so if you're willing to compromise visuals for portability, it might be the game for you. Dying Light 2 might feel like it's eternally delayed, but the Switch version can help tide players over until they get the chance to finally return to the zombie-infested world of Dying Light.                            
80	                                Dying Light: Platinum Edition looks surprisingly good on Switch, and even more impressive is that load times are kept short and the framerate stable. So, with a journey to Harran being as captivating today as it was in 2015, there’s no reason why those who love exploring open worlds filled with zombies wouldn’t want to pick this up. Add in a whole smorgasbord of additional content, features and modes, and you have a package that’s a highlight in the Switch’s extensive catalogue.                            
75	                                If you have never played Dying Light, this iteration isn’t the one I would recommend for you BUT if you are already a hardcore fan, then adding this to the Switch for playing on the go is a fun challenge and I definitely recommend it.                            
75	                                Overall, Dying Light: Platinum Edition does a lot quite well on Switch. Aside from some technical hiccups and a pretty insignificant narrative, the game shines behind a satisfying gameplay loop with buildings to climb, upgrades to snag, and zombies to smack. With loads of packed-in DLC content and a few multiplayer modes piled on top of a sizable base game, fans of the gameplay loop will find dozens of hours of gratifying zombie-crushing entertainment. Ahead of a sequel set to arrive in February, the game does little to push genre limits or set new standards, but it’s an easy recommendation for fans of open-world titles, fun gameplay, and zombies.                            
70	                                Well, this isn't the prettiest version of this underrated gem, but the port itself is well-made and plays nice (mostly). This is a well made port and worthy of this great game.                            
